""	"Mean MTP_MT"	"Mean MT_MB"	"clusters"
"1224"	-0.1043989	0.1953607	9
"1241"	-0.03119554	0.1228015	9
"1244"	0.002296301	0.1447583	9
"1246"	-0.02180844	0.1170081	9
"1248"	-0.01705263	0.1331857	9
"1255"	-0.005658214	0.1217805	9
"1256"	-0.02434556	0.1185148	9
"1259"	-0.06316482	0.1122661	9
"1260"	-0.06914425	0.118027	9
"1268"	-0.009098724	0.1094485	9
"1269"	-0.00010919	0.1093944	9
"1272"	-0.04835381	0.1554617	9
"1273"	-0.01482465	0.1065464	9
"1274"	-0.03131513	0.1323044	9
"1277"	-0.0431088	0.1468647	9
"1280"	0.04508909	0.1217855	9
"1286"	-0.0648148	0.1821482	9
"1300"	0.006229815	0.1054043	9
"1305"	0.02165578	0.09992362	9
"1307"	-0.01835325	0.1151773	9
"1310"	-0.09019693	0.1903208	9
"1317"	0.004993051	0.1154272	9
"1319"	-0.03152828	0.1305629	9
"1326"	0.02449657	0.1004341	9
"1328"	-0.08857378	0.1696187	9
"1333"	-0.05262338	0.1259753	9
"1335"	0.008113966	0.1360863	9
"1351"	0.03623822	0.09988589	9
"1353"	-0.000157594	0.1042416	9
"1384"	-0.02537746	0.138656	9
"1388"	-0.03366501	0.1131057	9
"1411"	0.000186748	0.1081136	9
"1415"	-0.05522006	0.1309876	9
"1422"	-0.03096713	0.1568889	9
"1425"	-0.01106295	0.1152545	9
"1779"	0.006768661	0.143648	9
"1781"	0.009566497	0.1359877	9
"1784"	0.02667977	0.1650235	9
"1785"	0.04456865	0.1527798	9
"1787"	0.03267643	0.1464001	9
"1788"	0.09810387	0.1683273	9
"1789"	0.02605882	0.1382293	9
"1790"	-0.02591863	0.1791577	9
"1791"	0.03532916	0.1016392	9
"1792"	-0.01622393	0.1308912	9
"1794"	0.01848107	0.1208694	9
"1796"	0.03597991	0.1747013	9
"1797"	-0.08249553	0.2065087	9
"1798"	0.03000525	0.1565969	9
"1800"	0.02301024	0.1598396	9
"1801"	-0.009842861	0.1820489	9
"1802"	0.04770555	0.1279636	9
"1803"	-0.03949551	0.1812219	9
"1804"	-0.02741659	0.166181	9
"1806"	0.02860532	0.1972079	9
"1808"	-0.04707697	0.1662493	9
"1809"	0.02677192	0.1687552	9
"1811"	0.004658579	0.1646115	9
"1812"	-0.01503046	0.1750199	9
"1813"	-0.01629078	0.201526	9
"1814"	-0.03069713	0.1947798	9
"1815"	0.04263995	0.1382957	9
